date,location,event,participants_on_record,source_urls,notes
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN: Survivors of Jeffrey Epstein Press Conference,Members of Congress; survivors,https://www.c-span.org/,Program title anchor; add specific C‑SPAN Program ID upon retrieval.
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN: House Members News Conference on Epstein Records,Rep. Ro Khanna; Rep. Thomas Massie; others,https://www.c-span.org/,Program title anchor; add specific C‑SPAN Program ID upon retrieval.
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN: Survivor Statements to Press (rotunda/triangle feed segments),Survivors (various),https://www.c-span.org/,Clip/segment title anchor; add specific Clip ID upon retrieval.
2024-01-03,"SDNY Docket (Giuffre v. Maxwell, 15‑cv‑7433)","ECF 1320.0 – Combined Unsealed Filing (Jan 3, 2024)",U.S. District Court SDNY; Judge Loretta Preska,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Matches uploaded PDF title pattern 'gov.uscourts.nysd.447706.1320.0-combined.pdf'.
2024-01-03,"SDNY Docket (Giuffre v. Maxwell, 15‑cv‑7433)",Unsealing Order Entered – Rolling Releases to Follow,Judge Loretta Preska; parties,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,"Order on docket initiating rolling public release (Jan 3, 2024)."
2024-01-04,"SDNY Docket (Giuffre v. Maxwell, 15‑cv‑7433)",Subsequent unsealed exhibits posted to docket,Court clerk; parties,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Follow‑on ECF entries; cite specific ECF numbers upon retrieval.
2019-07-07,New York NY (Federal Court),Reuters Photo Set: Epstein Arrest/Initial Appearance Coverage,Reuters photojournalists,https://www.reuters.com/world/us/,Wire gallery anchor; add specific photo set slug/ID when retrieved.
2019-07-10,New York NY (Federal Court),Reuters Photo Set: Detention/Bail Proceedings,Reuters photojournalists,https://www.reuters.com/world/us/,Wire gallery anchor; add specific photo set slug/ID when retrieved.
2019-07-20,Little St. James USVI,Reuters Aerial Photo Set: Island Facilities/Topography (Marco Bello),Reuters (Marco Bello),https://www.reuters.com/world/americas/,Wire gallery anchor; add specific asset ID when retrieved.
2019-08-10,New York NY (MCC),Reuters/ABC Coverage: BOP Statement on In‑Custody Death,Bureau of Prisons; press pool,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847;https://www.reuters.com/world/us/,Event coverage anchor; add specific wire gallery titles when retrieved.
2010-12-05,New York NY (Central Park),Getty/Wire: Long‑lens Photos of Public Walk,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park,Use this as proxy title; add Getty set title/ID when retrieved.
2025-09-02,Washington DC (House Oversight),"House Oversight Video: DOJ Production (33,295 pages) Press Avail",House Oversight; committee staff,https://oversight.house.gov/,Committee clip anchor; add direct video URL/ID when retrieved.
2025-09-08,Washington DC (House Oversight),House Oversight Video: Estate Production Release Briefing,House Oversight; Estate counsel (referenced),https://oversight.house.gov/,Committee clip anchor; add direct video URL/ID when retrieved.
2025-10-17,Washington DC (House Oversight),House Oversight Clip: Additional Batch (Acosta interview transcript; calendars/logs),House Oversight; Alex Acosta (interview referenced),https://www.washingtonpost.com/politics/2025/10/17/house-epstein-files/,Use with primary committee link; add direct committee video link when retrieved.
