date,location,event,participants_on_record,source_urls,notes
2000-02-15,New York NY,Charity gala/photo-call appearances in NYC society pages (early 2000s),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Context anchor for public social presence; no allegations.
2001-11-05,New York NY,Public reporting on philanthropy and science patronage,Jeffrey Epstein (subject),https://nymag.com/nymetro/news/people/n_7912/,Profile context; appearance in media timeline.
2002-05-22,Africa (reported travel),Press accounts of 2002 Africa trip with public figures,Public figures named in articles,https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Travel reporting context; use only as backdrop.
2004-08-12,Palm Beach FL,Press references to PBPD inquiry run-up (pre-2005),Palm Beach Police Department,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Timeline context prior to formal probe publicity.
2005-07-25,Palm Beach FL,Warrant/affidavit activity reported by local media during PBPD investigation,Palm Beach Police Department,https://www.miaminewtimes.com/news/the-secret-life-of-jeffrey-epstein-6391777,Local reporting anchor; contemporaneous coverage.
2007-11-30,Miami FL,Non-prosecution agreement (NPA) background detailed by Miami Herald investigation,SDFL; defense counsel,https://www.miamiherald.com/news/state/florida/article220097825.html,Investigative series timeline anchor.
2008-07-01,Palm Beach FL,Sex offender registry status begins to be publicly referenced in reporting,State of Florida,https://www.palmbeachpost.com/story/news/2019/07/11/jeffrey-epstein-sex-offender-status/1589767007/,Registry status anchor referenced by outlets.
2010-12-05,New York NY (Central Park),Long‑lens photographs document public walk,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park,Presence-only visual anchor.
2011-12-01,Cambridge MA,MIT Media Lab donations controversy begins to surface; internal emails later public,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Donations/guest appearances discussed; no specific nationalities identified.
2012-06-03,Las Vegas NV,Miss USA 2012 telecast (Erika Frantzve competes as Miss Arizona USA),Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Miss_USA_2012,Broadcast date anchor.
2012-10-10,Constanța Romania,Local coverage of Romanian Angels/EHLY visit and donations,EHLY volunteers; Antonio Placement Center,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Use as documentation of activity window 2011–2015.
2014-01-02,Constanța Romania,Follow‑up Romanian press on donations to orphanage/hospital,EHLY volunteers,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Local press anchor; repeat visits referenced.
2019-07-06,New York NY,SDNY announces arrest; initial court appearance coverage,U.S. Attorney SDNY; DOJ,https://www.reuters.com/world/us/jeffrey-epstein-arrest-2019-07-07/,Wire copy anchor around arrest.
2019-07-10,New York NY (Federal Court),Detention/bail proceedings covered by wire services,SDNY; court officers; defense,https://www.reuters.com/world/us/,Ongoing hearing day anchor.
2019-07-18,New York NY (Federal Court),Judge orders detention pending trial (reported),U.S. District Court SDNY,https://www.reuters.com/world/us/,Detention decision coverage.
2019-07-22,New York NY (Federal Court),Further hearing coverage and filings reported,SDNY; press pool,https://www.reuters.com/world/us/,Wire coverage anchor.
2019-07-20,Little St. James USVI,Reuters aerial photo set published,Reuters photojournalists,https://www.reuters.com/world/americas/,High‑res island geography for scene setting.
2019-08-10,New York NY (MCC),BOP statement on in‑custody death; media coverage,Bureau of Prisons,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial event anchor.
2020-07-02,New Hampshire / SDNY,Ghislaine Maxwell arrested; DOJ press release and subsequent SDNY proceeding,Ghislaine Maxwell; DOJ,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,Arrest announcement anchor.
2021-11-29,SDNY (NYC),Ghislaine Maxwell criminal trial opens,U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial start anchor.
2021-12-29,SDNY (NYC),Ghislaine Maxwell guilty verdict,DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor.
2022-06-28,SDNY (NYC),Ghislaine Maxwell sentencing,DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor.
2024-01-03,"SDNY Docket (Giuffre v. Maxwell, 15‑cv‑7433)",Unsealing order; docket item **ECF 1320** (combined) appears in public record,U.S. District Court SDNY; Judge Loretta Preska,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,"Docket index link; ECF 1320 corresponds to combined unsealed filing (Jan 3, 2024)."
2024-01-05,Online archives,Mirrors of unsealed batches (public access),Guardian; PublicIntelligence,https://www.theguardian.com/us-news/2024/jan/03/epstein-documents-unsealed;https://publicintelligence.net/ghislaine-maxwell-epstein-files-batch-8-2024/,Public mirrors to assist research.
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN coverage: survivors and members of Congress press events,Members of Congress; survivors,https://www.c-span.org/,Public video anchor; presence documented on camera.
2025-10-17,Washington DC,Committee batch includes Alex Acosta interview transcript; calendars/call logs,House Oversight; Alex Acosta,https://www.washingtonpost.com/politics/2025/10/17/house-epstein-files/,Coverage anchor; link out to committee primary as available.
